case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
1220,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.44461538461538,9.23,NA,2.1175,NA,NA,6,NA,NA,NA,25.39,3.06,5,13.35,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.21943064968708,26.785,NA,5.39,0.96,1.995,234.7619306496871,NA,NA,1.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.785,5.39,1221.41,1221.41,980.8,135.08,107.21943064968708
1221,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,26.29730769230769,5.31,NA,1.2045,NA,NA,7.16,11.54,9,10.85,NA,3.06,0.38,3.94,NA,NA,NA,NA,NA,230.77,NA,NA,NA,NA,NA,9,NA,NA,55.948106615941576,91.025,NA,21.805,29.57,60.465,550.6836066159416,6.995,NA,NA,NA,NA,NA,NA,7,NA,NA,0.825,0.325,0.75,NA,NA,NA,76.025,21.805,552.55,552.55,474.09,45,55.948106615941576
1222,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,37.753269230769234,7.15,NA,5.5495,NA,NA,16.61,15.69,NA,NA,57.7,3.06,6.15,11.14,NA,7.69,NA,NA,NA,153.85,NA,NA,NA,NA,NA,NA,NA,NA,59.97168758870417,57.445,NA,1.975,61.94,15.095,554.9721875887042,2.5,1.5,2.75,0.75,20.01,2.625,12.5,9.375,NA,NA,NA,NA,NA,NA,NA,NA,57.445,1.975,457.90323076923073,457.90323076923073,438.8632307692307,19.04,59.97168758870417
1223,3,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,58.28875,7.76,NA,3.1735,NA,1.66,NA,NA,NA,6.69,NA,3.06,1.15,7.54,7.62,6.69,NA,NA,NA,253.85,NA,NA,46.15,NA,NA,NA,NA,NA,102.34096504145526,103.165,NA,15.175,161.5,13.875,1087.8474650414553,0.4,NA,NA,NA,67.05,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,32.485,103.165,15.175,2556.11,2519.048,2003.51,390.27,102.34096504145526
1224,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,23.53278846153846,3.38,NA,2.7665,NA,NA,3.92,7.85,NA,19.16,NA,3.06,2.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7845205147577,49.115,NA,28.595,211.24,5.1,478.5430205147577,NA,0.7,NA,NA,22.3,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,49.115,28.595,530.5581538461538,530.5581538461538,462.70815384615383,67.85,64.7845205147577
1225,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,52.41,5.54,NA,5.995,NA,5,12.51,NA,NA,NA,68.08,3.06,6.15,13.62,NA,107.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.99603599091064,222.475,NA,NA,80.21,16.465,1000.0510359909106,NA,1.7,NA,NA,NA,3.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.475,NA,2137.9132307692307,2137.9132307692307,1683.3832307692307,338,79.99603599091064
1226,2,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.61384615384615,NA,5.798269230769231,3.7125,NA,NA,7.98,32.75,NA,NA,45.69,3.06,0.58,10.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,100.36100703463723,146.375,NA,32.5,146.965,96.21,937.4935070346373,5,8.995,NA,10.6,63.655,5.025,NA,1.35,NA,NA,NA,11.17,12.12,NA,NA,NA,146.375,32.5,1336.302,1336.302,961.162,271.41,100.36100703463723
1227,1,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,12.523846153846153,NA,3.1626923076923075,NA,NA,NA,2.28,5.77,NA,NA,NA,NA,NA,NA,NA,NA,6.69,NA,NA,NA,NA,NA,NA,10,NA,NA,164.46,141.66,6.8618555049133905,32.025,NA,NA,3.65,13.415,114.0468555049134,1.25,NA,1.645,0.47,NA,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.025,NA,80.46,80.46,80.46,NA,6.8618555049133905
1228,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5445,NA,NA,NA,16.02,NA,14.68,NA,3.06,2.98,4.13,NA,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.341615384615384,11.95,NA,7.75,79.43,NA,133.8471153846154,NA,NA,NA,NA,35.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95,7.75,259.87,259.87,208.06,51.81,9.341615384615384
1229,1,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,102.7,NA,20.776298076923077,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.02,7.5,NA,11.54,NA,NA,NA,NA,NA,NA,NA,32.31,NA,NA,NA,125.05013086689743,61.17,NA,7.8,12.92,23.935,361.61513086689746,NA,1.125,1.25,NA,NA,0.95,NA,3.295,NA,NA,NA,NA,NA,NA,NA,NA,61.17,7.8,376.312,376.312,376.312,NA,125.05013086689743
1230,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17.909423076923076,NA,4.216923076923077,NA,NA,NA,3.46,NA,NA,NA,20.77,3.06,0.62,11.08,6.23,NA,NA,NA,NA,NA,NA,NA,15.38,NA,NA,NA,164.46,141.66,86.64737055290601,61.795,NA,22.95,230.17,1.475,460.907370552906,NA,NA,NA,2.2,27.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.795,22.95,585.6,585.6,492.83,69.92,86.64737055290601
1231,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,49.32375,17.77,NA,3.1845,NA,NA,17.54,12.69,NA,NA,80.78,3.06,0.58,23.98,NA,5.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.41939410422708,233.475,NA,68.945,184.44,115.06,1183.374894104227,16.745,NA,3.8,NA,70.45,4.3,NA,12,NA,NA,NA,1.395,8.745,NA,NA,10.495,233.475,68.945,2380.61,2380.61,1922.12,340.41,241.41939410422708
1232,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4.62,NA,24.63903846153846,3.46,NA,NA,NA,NA,18.46,3.23,NA,16.16,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.873170190366196,45.41,35,24.69,NA,21.91,198.9481701903662,NA,0.5,NA,0.9,NA,NA,4.5,NA,NA,NA,NA,10.375,NA,NA,NA,5.985,45.41,24.69,270.672,270.672,270.672,NA,19.873170190366196
1233,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35.96180288461538,8.81,NA,4.2625,NA,NA,NA,7.06,NA,NA,18.46,3.06,NA,NA,NA,102.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.03271075228266,44.545,NA,NA,NA,8.975,131.29021075228266,5.825,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.545,NA,648.1581538461538,648.1581538461538,567.4381538461538,80.72,51.03271075228266
1234,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,32.83394230769231,NA,5.798269230769231,3.806,NA,NA,20.56,NA,NA,18.23,NA,3.06,6.92,4.79,11.19,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,168.06861646718107,122.18,NA,4.5,257.36,7.425,709.007616467181,NA,5.4,NA,0.8,NA,2.125,NA,1,NA,NA,NA,NA,0.8,NA,NA,NA,122.18,4.5,2667,2519.048,1683.09,630.05,168.06861646718107
1235,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.809399038461535,3.69,NA,1.694,NA,NA,NA,8.42,NA,NA,27.46,3.06,2.88,5.32,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.384,46.56,NA,7.75,25,22.93769230769231,232.05769230769232,NA,NA,1.75,0.5,10,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.56,7.75,181.54815384615384,181.54815384615384,181.54815384615384,NA,5.384
1236,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,47.79112179487179,16.23,NA,5.8795,NA,NA,NA,36.16,NA,25.39,NA,3.06,4.23,16.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.08596551150848,69.375,31.075,66.14,64.34,41.965,564.9014655115085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,69.375,66.14,421.8532307692307,421.8532307692307,412.5432307692307,9.31,77.08596551150848
1237,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28.887836538461535,5.23,NA,1.0175,NA,NA,NA,8.54,NA,NA,23.31,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.02282374999081,39.46,NA,NA,NA,0.745,126.1403237499908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,39.46,NA,225.25123076923077,225.25123076923077,225.25123076923077,NA,55.02282374999081
1238,3,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.444,NA,NA,11.54,16.16,NA,NA,NA,3.06,2.89,11.63,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.01533566923077,131.345,NA,56.245,26.155,73.055,533.0863356692307,NA,NA,2.245,2.245,22.505,1.475,NA,NA,NA,NA,NA,10.59,NA,NA,NA,NA,131.345,56.245,1408.41,1408.41,1147.16,155.78,76.01533566923077
1239,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.028076923076924,16.24,NA,2.3375,NA,6.07,NA,NA,NA,NA,19.94,3.06,2.79,8.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.18156586016427,22.945,NA,NA,23.985,0.995,143.31906586016427,NA,NA,NA,NA,18.605,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,22.945,NA,308.93815384615385,308.93815384615385,308.93815384615385,NA,42.18156586016427
1240,3,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,230.79,NA,25.142115384615384,9.62,NA,NA,NA,NA,22.61,NA,NA,39.7,NA,NA,0.23,28.85,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.66146747927047,49.325,NA,NA,54.891426263558735,7.75,482.1978937428292,NA,1.495,NA,NA,12.5,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,49.325,NA,1376.74,1376.74,1100.27,169.85,265.66146747927047
1241,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.51711538461539,12.73,NA,2.6455,NA,NA,3.7,17.31,NA,NA,62.54,3.06,7.23,10.98,NA,NA,NA,NA,NA,153.85,NA,NA,NA,NA,NA,NA,NA,NA,82.71896930699097,106.47,NA,18.575,64.23,62.07,840.563469306991,NA,NA,NA,1.895,NA,NA,NA,NA,NA,NA,NA,1.345,NA,NA,NA,NA,106.47,18.575,611.2401538461538,611.2401538461538,565.0901538461538,46.15,82.71896930699097
1242,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,32.5,NA,32.85205128205128,5.81,NA,NA,NA,NA,NA,12.51,NA,NA,22.16,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.05019582432261,32.47,NA,NA,64.5,12,507.7601958243226,2.125,NA,NA,0.345,NA,2.25,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,32.47,NA,301.584,301.584,301.584,NA,41.05019582432261
1243,3,3,2,NA,3,NA,1,NA,NA,NA,NA,NA,233.39,NA,21.16557692307692,10.06,NA,NA,NA,NA,7.62,6.46,40.39,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.39,NA,NA,253.72423770551168,28.97,NA,NA,NA,36.37,408.41423770551165,NA,NA,NA,NA,NA,8.095,NA,4.995,NA,NA,NA,NA,NA,NA,NA,NA,28.97,NA,227.2,109.5,109.5,NA,253.72423770551168
1244,3,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,58.28875,9.41,NA,5.181,NA,NA,NA,13.07,NA,28.85,NA,3.06,8.74,9.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.03739567849762,77.975,NA,1.895,68.35,NA,328.8063956784976,NA,NA,1.66,10.925,12.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.975,1.895,732.5632307692307,732.5632307692307,692.8032307692307,39.76,73.03739567849762
1245,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.413461538461537,9.46,NA,NA,NA,NA,NA,3.46,NA,NA,19.39,3.06,3.49,11.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.385107722469016,25.825,51.35,12.89,19.995,NA,184.155107722469,0.945,NA,1.245,1.095,19.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.825,12.89,411.49,411.49,355.07,33.93,36.385107722469016
1246,4,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1.694,NA,NA,12.34,8.05,NA,19.89,NA,3.06,0.58,6.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.907076923076925,78.465,42.725,22.245,16.835,19.17,308.63807692307694,NA,NA,5.605,NA,15.005,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,78.465,22.245,1107.4232307692307,1107.4232307692307,954.0732307692307,98.35,21.907076923076925
1247,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,46.16,NA,20.894326923076925,NA,3.689807692307692,NA,NA,NA,8.08,4.78,NA,NA,31.16,3.06,3.43,10.75,NA,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,76.45853162372123,66.35,NA,NA,84.24,15.66,316.4735316237212,NA,0.95,3.75,NA,NA,1.65,NA,NA,NA,NA,NA,9.285,NA,NA,NA,NA,66.35,NA,877.12,877.12,730.57,85.39,76.45853162372123
1248,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,47.07647435897436,6.73,NA,4.2295,NA,NA,NA,24.23,NA,NA,48.08,3.06,1.15,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.34667083275183,40.51,4.99,NA,2.285,2.47,202.8471708327518,NA,NA,NA,1,NA,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.51,NA,995.134,995.134,995.134,NA,77.34667083275183
1249,2,3,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,214.73,30.51304487179487,3.46,NA,NA,NA,NA,NA,9.97,NA,12.69,NA,3.06,0.35,3.89,NA,7.85,NA,NA,NA,NA,NA,NA,26.92,NA,NA,NA,NA,NA,247.59226279489727,141.415,NA,2.125,84.65,60.19,589.0222627948973,12.55,NA,NA,1.75,10.12,NA,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,141.415,2.125,636.7132307692307,636.7132307692307,613.6332307692307,23.08,247.59226279489727
1250,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.3214423076923,6.92,NA,2.4585,NA,NA,2.54,21.73,NA,NA,45.93,3.06,4.83,18.37,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.900084103198274,75.165,NA,NA,823.55,163.705,1432.831584103198,1.015,0.975,NA,0.61,NA,0.945,NA,9.985,NA,NA,NA,NA,NA,NA,NA,NA,75.165,NA,720.2132307692307,720.2132307692307,653.2932307692307,66.92,62.900084103198274
1251,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,24.165384615384617,7.27,NA,2.365,NA,NA,2.73,12.69,14.29,9.63,NA,3.06,0.38,0.43,NA,NA,NA,26.92,26.92,NA,NA,NA,NA,NA,NA,14.29,NA,NA,32.927424457818006,94.695,NA,3.25,44.92,25.885,292.642424457818,8.3,NA,NA,NA,NA,4.95,NA,0.915,NA,NA,NA,9.94,3.5,NA,NA,NA,94.695,3.25,519.61,567.69,468.91,55.28,32.927424457818006
1252,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,26.741923076923076,1.92,NA,4.972,NA,NA,4.04,7.92,NA,16.64,NA,3.06,0.58,4.37,NA,2.71,NA,38.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.97291041334043,33.535,NA,NA,30.12,3.76,300.7659104133404,1.185,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.535,NA,281.7281538461538,281.7281538461538,281.7281538461538,NA,40.97291041334043
1253,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.237692307692306,6.92,NA,1.2155,169.62,NA,14.08,NA,NA,NA,36.93,3.06,2.42,11.54,5.08,NA,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.10466154760292,67.22,NA,NA,14.485,25.105,437.1491615476029,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.22,NA,1171.25,1171.25,937.83,125.7,75.10466154760292
1254,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,62.51009615384615,13.31,NA,5.9345,NA,NA,2.31,20.38,NA,NA,25.46,3.06,2.98,12.25,NA,153.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.70671273192337,78.895,NA,NA,4.23,0.925,583.9072127319233,1.7,1.625,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,78.895,NA,1099.617846153846,1099.617846153846,988.1478461538461,111.47,80.70671273192337
1255,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,43.25,NA,26.15403846153846,4.04,NA,NA,NA,NA,6.69,24.23,NA,30,NA,3.06,0.6,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3408768661008,104.50865105008076,NA,NA,10.5,12.7,290.53548106642387,NA,NA,NA,3.2,NA,0.95,1.2318255250403876,3.595,NA,NA,NA,NA,NA,NA,NA,NA,104.50865105008076,NA,354.38323076923075,354.38323076923075,354.38323076923075,NA,65.3408768661008
1256,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,68.77,NA,16.055384615384614,NA,3.1626923076923075,NA,NA,NA,8.08,11.89,NA,NA,20.17,3.06,7.8,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,94.3553206097841,68.81,NA,33.92,53.285,3.83,332.39032060978406,0.75,NA,1.845,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.81,33.92,530.33,531.87,439.1412,55.8988,94.3553206097841
1257,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.894262820512814,7.03,NA,15.38,NA,NA,10.39,5.77,NA,NA,53.08,3.06,4.81,13.46,NA,NA,307.69,NA,NA,NA,NA,NA,23.08,NA,NA,NA,NA,NA,170.36498780142955,44.92,NA,NA,265.39,308.815,902.9949878014296,NA,NA,NA,1.23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,44.92,NA,2417.71,2519.048,2003.51,393.69,170.36498780142955
1258,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,49.76830128205128,5.77,NA,3.828,NA,NA,3.46,19.62,NA,NA,46.16,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.81507336694968,149.34,NA,73.205,NA,13.815,526.8370733669497,NA,NA,1.99,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.34,73.205,776.7432307692308,776.7432307692308,710.5632307692307,66.18,57.81507336694968
1259,2,3,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,128.35,33.21794871794872,6.73,NA,NA,NA,NA,2.11,13.62,NA,NA,NA,0.39,3.17,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.52399076522295,65.975,NA,8.62,2.29,2.41,336.56399076522297,1.295,2.495,0.445,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.975,8.62,352.55323076923077,352.55323076923077,352.55323076923077,NA,163.52399076522295
1260,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,263.1,NA,39.10182692307692,7.15,NA,NA,NA,6,17.31,NA,NA,NA,39.23,3.06,3.79,12.11,6,NA,NA,NA,NA,NA,NA,NA,93.85,NA,NA,NA,NA,NA,309.4525255809153,126.945,NA,72.145,324.67,20.365,1117.0575255809151,5,NA,NA,NA,9.45,1.495,NA,12.595,NA,NA,NA,NA,NA,NA,NA,NA,126.945,72.145,1285.49,1285.49,994.67,171.91,309.4525255809153
1261,1,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,87.07,19.42153846153846,11.62,NA,NA,NA,NA,NA,8.08,NA,5.77,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,117.85325535615172,32.43,NA,15.69,NA,9.545,193.2082553561517,NA,NA,1.745,1.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.43,15.69,459.31,459.31,404.21,44.71,117.85325535615172
1262,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.3603125,7.38,NA,7.689,NA,NA,4.38,21.92,NA,NA,43.39,3.06,2.5,166,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.798575697602395,140.785,NA,44.01,56.17,17.75,593.9295756976024,3.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.785,44.01,1013.5081538461538,1013.5081538461538,888.8881538461537,124.62,57.798575697602395
1263,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,42.847788461538464,6.18,NA,2.728,NA,NA,7.55,NA,NA,22.69,NA,3.06,3.17,6.82,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.4111540006994,49.855,NA,9,48.105,6,310.7981540006994,NA,1.25,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.855,9,1447.1,1447.1,1194.08,149.27,101.4111540006994
1264,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.171378205128203,11.08,NA,5.77,NA,NA,10.39,6.46,NA,NA,30,3.06,4.04,22.39,NA,NA,15.38,NA,NA,NA,NA,NA,23.07,NA,NA,NA,NA,NA,293.35891199416085,67.76,NA,2.535,27.655,36.27,527.7339119941608,1.4,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.82,67.76,2.535,1042,1042,868.91,85.39,293.35891199416085
1265,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,35.85948717948718,5.6,NA,14.5075,NA,NA,NA,16.68,29.08,29.77,NA,3.06,NA,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.08,NA,NA,54.485350390844495,112.335,NA,62.865,15.005,12.665,339.74285039084447,NA,NA,NA,2.025,15.005,4.25,NA,NA,NA,NA,NA,3.495,NA,NA,NA,NA,112.335,62.865,773.9632307692307,773.9632307692307,753.2732307692307,20.69,54.485350390844495
1266,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,128.32,NA,34.87205128205128,10.85,NA,NA,NA,NA,16.22,8.43,NA,NA,30.23,3.06,6.92,8.12,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.4607822295416,80.7,NA,19.12,33.41,17.985,561.0157822295416,NA,NA,1,5.21,NA,NA,NA,7.24,NA,NA,NA,NA,NA,NA,NA,NA,80.7,19.12,1550.382,1569.612,1129.4214,343.4906,237.4607822295416
1267,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.24807692307692,22.02,NA,2.5025,NA,NA,22.85,27.69,NA,NA,51.08,3.06,6.92,17.78,NA,2.88,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.96590124062614,165.845,NA,30.375,75.945,59.805,725.6234012406261,NA,5.7,3.545,1.495,NA,3.3,NA,37.2,NA,NA,NA,9.085,5.5,NA,16.495,6,165.845,30.375,1941.65,1941.65,1535.35,229.78,82.96590124062614
1268,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.341923076923074,11.54,NA,2.1175,NA,NA,25.45,19.62,NA,NA,50.08,3.06,3.17,16.35,NA,NA,9.23,NA,NA,NA,NA,NA,92.31,NA,NA,NA,NA,NA,136.5904081293528,112.16,NA,35.75,458.675,99.825,874.1979081293528,1.45,NA,1.67,NA,12.505,1.595,NA,NA,NA,NA,NA,21.44,0.79,NA,NA,68.79,112.16,35.75,794.58,794.58,744.81,39.61,136.5904081293528
1269,1,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.77456730769231,2.97,NA,1.144,NA,NA,4.38,5.42,NA,NA,2.47,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.845711932790092,55.47,27.25,NA,NA,151.005,400.92171193279006,NA,NA,0.945,0.695,NA,NA,NA,NA,NA,NA,NA,18.775,NA,NA,NA,NA,55.47,NA,455.38815384615384,455.38815384615384,407.23815384615386,48.15,26.845711932790092
1270,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,17.31,12.31,9.23,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.31,NA,NA,59.542307692307695,31.465,NA,NA,NA,54.73,268.6723076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.465,NA,450.36815384615386,450.36815384615386,413.67815384615386,36.69,59.542307692307695
