case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
1877,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.51711538461539,7.42,NA,1.85,NA,NA,NA,6.92,NA,NA,23.08,3.06,2.98,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.76346930699098,84.025,NA,NA,27.745,15.9,278.17346930699097,2.5,1.45,NA,1.695,NA,3.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.025,NA,798.878153846154,798.878153846154,688.5681538461538,62.31,47.76346930699098
1878,1,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,19.615528846153843,8.14,NA,2.178,NA,NA,2.42,5.54,NA,5.15,NA,3.06,NA,3.84,NA,14.93,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.32237582948356,34.315,NA,2,39.12,19.51,194.66937582948356,3.56,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.315,2,216.692,216.692,216.692,NA,63.32237582948356
1879,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,30.61384615384615,NA,5.798269230769231,2.541,NA,NA,NA,31.84,34.16,28.62,NA,3.06,4.42,10.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.16,164.46,141.66,58.43473194527868,102.575,NA,21.515,5.12,24.99,382.0687319452786,NA,3.2,0.78,2.735,NA,3.395,NA,0.945,NA,NA,NA,NA,NA,NA,NA,3.49,102.575,21.515,859.4163076923077,859.4163076923077,783.9463076923076,75.47,58.43473194527868
1880,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.933461538461536,6,NA,1.2265,NA,NA,1.15,7.62,NA,NA,44.31,3.06,3.17,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.327103331108304,87.765,NA,15.75,153.66,10.895,478.55060333110833,NA,2.29,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.765,15.75,637.402,637.402,562.512,74.89,30.327103331108304
1881,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.366089743589743,5.07,NA,2.552,NA,NA,4.62,NA,NA,NA,12.69,NA,11.96,24.08,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.05458935788604,133.675,NA,0.545,96.455,7.565,565.5163269530857,NA,NA,0.25,2.59,9.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.675,0.545,1155.212,1157.132,1129.8896,25.0824,68.05458935788604
1882,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,131.24,NA,19.615528846153843,4.97,NA,NA,NA,NA,2.42,NA,NA,5.08,NA,3.06,2.6,11.39,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.7362459935311,28.065,NA,14.6,55.58,0.52,366.9312459935311,NA,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.065,14.6,762.2981538461539,762.2981538461539,642.8681538461539,119.43,155.7362459935311
1883,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.412532051282053,23,NA,2.75,NA,NA,13.84,NA,NA,NA,27.69,3.06,3.46,12.5,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.29909374720302,9.025,NA,NA,41.865,55.49,463.39909374720304,NA,NA,NA,NA,37.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.995,9.025,NA,1930.05,1930.05,1489.23,255.08,173.29909374720302
1884,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,173.09,NA,26.15403846153846,5.49,NA,NA,NA,NA,2.31,NA,NA,NA,29.31,3.06,4.59,8.13,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.35907426179415,19.64,NA,NA,NA,NA,279.70907426179417,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.64,NA,654.562,654.562,647.582,6.98,205.35907426179415
1885,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.894615384615385,3.12,NA,1.166,NA,NA,2.31,10.62,NA,NA,20.31,3.06,2.4,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.94356684950291,38.755,NA,36.75,16.39,42.24,259.0475668495029,NA,NA,NA,NA,11.5,3.25,NA,NA,NA,NA,NA,2.375,7.995,NA,NA,NA,38.755,36.75,19.02,19.02,19.02,NA,31.94356684950291
1886,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.32605769230769,9.46,NA,2.541,NA,NA,12.23,NA,NA,NA,36.42,3.06,12.69,8.42,10.9,NA,46.15,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,121.54461928308127,96.58,NA,8.75,50.38,91.26,652.9386192830813,NA,NA,0.745,NA,35,NA,NA,0.945,NA,NA,NA,NA,NA,NA,NA,NA,96.58,8.75,1206.34,1214.99,979.66,147.52,121.54461928308127
1887,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35.06942307692307,15.46,NA,2.772,NA,NA,13.85,9.4,NA,NA,51.47,3.06,1.92,21.16,NA,NA,NA,NA,NA,269.23,NA,NA,NA,NA,NA,NA,NA,NA,121.64213329741864,67.5,NA,20.275,214.53,11.91,912.2351332974188,NA,NA,2.78,0.625,NA,NA,NA,2.74,NA,NA,NA,NA,NA,NA,NA,4.985,67.5,20.275,1627.19,1627.19,1259.05,230.45,121.64213329741864
1888,7,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,95.1,NA,27.110641025641023,25,NA,NA,NA,NA,NA,NA,NA,NA,58.85,3.06,NA,NA,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.20217159701696,52.385,NA,NA,35.005,3.94,328.34217159701694,NA,NA,NA,NA,NA,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,52.385,NA,515.29,515.29,515.29,NA,147.20217159701696
1889,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,33.06923076923077,11.08,NA,5.6815,NA,NA,3.23,16.16,10.15,32.54,NA,3.06,0.58,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,NA,NA,49.865264977465095,45.72,5.425,15.49,1.92,12.555,190.49376497746508,NA,NA,1.5,NA,NA,2.395,NA,NA,NA,NA,NA,0.695,NA,NA,NA,NA,45.72,15.49,1165.35,1165.35,1014.82,95.74,49.865264977465095
1890,1,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,110.09,NA,25.142115384615384,5.31,NA,NA,NA,NA,5.31,NA,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,141.03281756229333,63.025,NA,3.49,1.96,NA,717.1291826673014,NA,1.5,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,63.025,3.49,479.72,479.72,396.95,43.73,141.03281756229333
1891,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.341923076923074,6.58,NA,1.4685,NA,NA,NA,9.92,NA,NA,18.46,3.06,3.08,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.09813575591361,87.43,NA,17.15,54.935,10.11,300.4796357559136,NA,NA,1.125,0.98,38.025,NA,NA,8.495,NA,NA,2.475,1.635,NA,NA,NA,6.365,87.43,17.15,477.602,477.602,477.602,NA,53.09813575591361
1892,1,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,81.94,NA,13.432067307692307,NA,3.1626923076923075,NA,NA,NA,1.38,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.54,NA,NA,164.46,141.66,101.39046112505979,37.17,17.5,NA,NA,3.175,192.87546112505976,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,3.05,NA,NA,NA,NA,37.17,NA,323.75,323.75,294.83,13.27,101.39046112505979
1893,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.054735576923076,4.38,NA,1.397,NA,NA,12.69,10.15,NA,NA,30,3.06,NA,2.88,NA,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.94711075156147,64.79,NA,6.5,45.585,16.73,288.44011075156146,0.845,NA,1.575,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.79,6.5,845.74,845.74,649.67,113.81,67.94711075156147
1894,2,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25.52576923076923,5.7,NA,4.29,NA,NA,3.23,14.27,NA,NA,24.11,3.06,3.49,5.05,NA,NA,NA,NA,NA,384.62,384.62,NA,NA,NA,NA,NA,NA,NA,36.08348104956268,49.045,NA,NA,17.75,24.645,654.9434810495627,NA,0.995,NA,2.165,11.98,NA,NA,NA,NA,NA,NA,11.995,1.5,NA,NA,NA,49.045,NA,494.08815384615383,494.08815384615383,481.44815384615384,12.64,36.08348104956268
1895,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.847884615384615,7.62,NA,NA,NA,NA,17.31,6.46,NA,NA,33.93,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.52815793338321,75.73,NA,NA,35.03,1.695,256.0081579333832,NA,NA,2.25,NA,35.03,1.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.73,NA,933.34,933.34,761.41,103.85,48.52815793338321
1896,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,14.611153846153844,NA,3.689807692307692,1.551,NA,NA,NA,18.88,16.16,21.69,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.16,164.46,141.66,22.360904647805352,86.59,NA,NA,33.46,21.005,226.40490464780535,NA,NA,1.5,1.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.59,NA,555.2712307692307,555.2712307692307,555.2712307692307,NA,22.360904647805352
1897,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.76480769230769,11.53,NA,NA,NA,NA,31.68,23.93,NA,NA,28.85,3.06,NA,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.64875992932993,28.195,NA,46.745,22.515,23.016688206785137,338.11044813611505,NA,1.375,NA,1,NA,2.72,NA,0.745,NA,NA,NA,3.1,NA,NA,NA,NA,28.195,46.745,540.9001538461538,540.9001538461538,540.9001538461538,NA,89.64875992932993
1898,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.780064102564104,12.92,NA,5.8025,NA,NA,27.06,16.73,NA,NA,66.01,3.06,NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.03700526409999,110.42,NA,1,19.2,20.07,344.2845052641,4,NA,NA,3.4,NA,1.75,NA,NA,NA,NA,15.7,1,2.5,NA,NA,NA,110.42,1,577,792.16,781.27,10.89,59.03700526409999
1899,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,49.32125,6.92,NA,4.5485,NA,NA,NA,20.77,NA,NA,46.16,3.06,4.23,11.01,NA,13.84,NA,NA,NA,169.24,NA,NA,NA,NA,NA,NA,NA,NA,60.918168761195304,87.28,NA,13.945,3.08,13.05,430.4896687611953,3,NA,NA,0.5,NA,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.28,13.945,822.1132307692308,822.1132307692308,717.3132307692307,104.8,60.918168761195304
1900,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,27.110641025641023,10.85,NA,1.584,NA,NA,11.54,NA,NA,NA,25.62,3.06,2.6,10.04,5.31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.40748620190365,76.575,NA,19.275,119.10784675744289,4.02,437.40633295934657,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.75,76.575,19.275,1822.19,1841.42,1376.9994,300.2506,153.40748620190365
1901,2,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,36.309230769230766,6,NA,2.8765,NA,NA,NA,11.73,1.92,4.07,NA,3.06,NA,2.64,4.38,NA,19.23,NA,NA,235.54,235.54,NA,NA,NA,NA,1.92,NA,NA,458.31378305291463,9.17,NA,NA,66.32,172.335,1116.0022830529147,NA,NA,NA,0.4,NA,NA,13.525,13.63,NA,NA,NA,NA,NA,NA,NA,411.755,9.17,NA,955.5432307692307,955.5432307692307,929.6632307692307,25.88,458.31378305291463
